EpNum	EpSteps	Reward	ener	dist
62	26	433	1352.0	0.0
63	14	443	728.0	0.0
64	37	377.0	1839.1999999999998	0.0
65	25	434	1300.0	0.0
66	54	358.0	2002.3999999999983	0.0
67	32	426	1664.0	0.0
68	19	438	988.0	0.0
69	57	357.0	2031.199999999998	0.0
70	45	369.0	1915.999999999999	0.0
71	47	366.0	1935.199999999999	0.0
72	39	374.0	1858.3999999999996	0.0
73	23	436	1196.0	0.0
74	46	367.0	1925.599999999999	0.0
75	39	374.0	1858.3999999999996	0.0
76	28	431	1456.0	0.0
77	127	241.0	2703.1999999999916	0.0
78	57	354.0	2031.199999999998	0.0
79	104	309.0	2482.3999999999937	0.0
80	20	437	1040.0	0.0
81	73	338.0	2184.7999999999965	0.0
82	50	364.0	1963.9999999999986	0.0
83	23	433	1196.0	0.0
84	46	368.0	1925.599999999999	0.0
85	63	261.0	2088.7999999999975	0.0
86	10	446	520.0	0.0
87	41	372.0	1877.5999999999995	0.0
88	15	441	780.0	0.0
89	24	434	1248.0	0.0
90	45	369.0	1915.999999999999	0.0
91	35	422	1820.0	0.0
92	13	444	676.0	0.0
93	52	361.0	1983.1999999999985	0.0
94	24	434	1248.0	0.0
95	27	432	1404.0	0.0
96	79	335.0	2242.399999999996	0.0
97	60	353.0	2059.9999999999977	0.0
98	51	317.0	1973.5999999999985	0.0
99	19	439	988.0	0.0
100	31	427	1612.0	0.0
101	65	349.0	3324.1994205982223	0.0
102	33	291.0	1465.6692629208112	0.0
103	95	228.0	3825.555841571825	0.0
104	66	168.0	2824.3212101114186	0.0
105	30	338.0	1371.5737367038064	0.0
106	48	409	2354.042999624617	0.0
107	63	350.0	3156.2603153548207	0.0
108	62	352.0	3294.72121011142	0.0
109	32	291.0	1391.4519471906083	0.0
110	62	395	3084.7558415718254	0.0
111	34	290.0	1366.8955262170048	0.0
112	31	338.0	1191.3910524340097	0.0
113	90	187.0	3202.1038943812146	0.0
114	32	246.0	1157.9128419472074	0.0
115	133	190.0	5911.285999249231	0.0
116	81	243.0	4285.4340520586275	0.0
117	31	203.0	998.895526217005	0.0
118	56	130.0	1897.7910524340075	0.0
119	65	258.0	3091.338525841623	0.0
120	42	416	2232.503894381216	0.0
121	23	435	1156.9910524340096	0.0
122	16	263.0	706.1564209736039	0.0
123	51	360.0	2382.1647891378148	0.0
124	103	311.0	4645.3731573020295	0.0
125	45	413	2132.7474734076127	0.0
126	27	296.0	1429.608368164212	0.0
127	62	351.0	2765.0603153548195	0.0
128	77	335.0	3906.477631085024	0.0
129	26	253.0	993.9737367038069	0.0
130	35	288.0	1249.9737367038067	0.0
131	35	334.0	1569.6692629208108	0.0
132	49	365.0	1893.8519471906084	0.0
133	32	336.0	1455.3910524340088	0.0
134	102	312.0	5168.146894005834	0.0
135	9	357.0	362.339105243401	0.0
136	40	103.0	1192.3128419472077	0.0
137	26	252.0	951.573736703807	0.0
138	52	225.0	1881.6083681642112	0.0
139	39	330.0	1906.2256838944138	0.0
140	69	345.0	3001.86031535482	0.0
141	32	381.0	1711.1474734076128	0.0
142	39	373.0	1671.33015767741	0.0
143	16	440	941.0519471906088	0.0
144	134	235.0	5687.346894005836	0.0
145	66	212.0	2632.503894381216	0.0
146	56	401	2749.86031535482	0.0
147	41	373.0	1797.5474734076126	0.0
148	47	320.0	2345.121210111419	0.0
149	24	299.0	995.6346314604059	0.0
150	91	186.0	3933.8603153548197	0.0
151	58	355.0	2194.286578651012	0.0
152	64	349.0	2953.8603153548206	0.0
153	41	326.0	1776.0083681642116	0.0
154	31	337.0	1509.73015767741	0.0
155	70	118.0	2394.964789137816	0.0
156	56	357.0	2364.1910524340087	0.0
157	34	335.0	1348.069262920811	0.0
158	28	251.0	1417.669262920811	0.0
159	49	272.0	1959.1474734076119	0.0
160	87	192.0	3620.8776310850226	0.0
161	28	206.0	1205.6692629208114	0.0
162	19	393.0	1012.2519471906087	0.0
163	44	414	2101.6083681642112	0.0
164	33	335.0	1679.0256838944144	0.0
165	48	276.0	2354.7212101114196	0.0
166	73	296.0	3487.8340520586266	0.0
167	89	280.0	4598.485999249236	0.0
168	41	372.0	2010.2256838944145	0.0
169	98	225.0	4024.6340520586255	0.0
170	52	272.0	2520.999420598221	0.0
171	29	429	1299.391052434009	0.0
172	23	391.0	1029.112841947208	0.0
173	63	306.0	2837.9212101114185	0.0
174	49	228.0	2363.6429996246175	0.0
175	81	332.0	3713.3731573020273	0.0
176	30	292.0	1330.5301576774102	0.0
177	55	359.0	2441.4256838944143	0.0
178	45	369.0	2154.286578651013	0.0
179	14	442	730.0346314604058	0.0
180	75	384	3293.6776310850228	0.0
181	35	379.0	1676.0083681642113	0.0
182	18	394.0	959.5737367038067	0.0
183	12	267.0	498.1564209736038	0.0
184	38	284.0	1727.0256838944144	0.0
185	55	269.0	2250.964789137815	0.0
186	97	226.0	4525.190473032229	0.0
187	45	368.0	2473.9821048680187	0.0
188	37	332.0	1907.8865786510135	0.0
189	36	332.0	2003.269262920811	0.0
190	17	351.0	844.3128419472077	0.0
191	39	375.0	1991.7038943812158	0.0
192	27	431	1216.9301576774103	0.0
193	18	302.0	917.1737367038068	0.0
194	90	233.0	4055.529578275631	0.0
195	37	377.0	1780.0083681642113	0.0
196	40	284.0	1510.6519471906072	0.0
197	24	343.0	910.156420973604	0.0
198	47	411	2110.9038943812157	0.0
199	43	415	2007.8865786510137	0.0
200	69	344.0	3555.0949468152257	0.0
