EpNum	EpSteps	Reward	ener
3021	6	98	291.1391052
3022	6	99	291.1391052
3023	7	98	300.7391052
3024	6	98	291.1391052
3025	7	98	300.7391052
3026	7	98	300.7391052
3027	6	98	291.1391052
3028	6	99	291.1391052
3029	18	76	639.8782105
3030	6	98	291.1391052
3031	12	93	391.8173157
3032	18	76	406.3391052
3033	6	98	291.1391052
3034	6	98	291.1391052
3035	7	98	300.7391052
3036	6	98	291.1391052
3037	6	99	291.1391052
3038	6	99	291.1391052
3039	7	98	300.7391052
3040	7	98	300.7391052
3041	6	98	291.1391052
3042	7	98	300.7391052
3043	6	98	291.1391052
3044	6	98	291.1391052
3045	6	99	291.1391052
3046	6	99	291.1391052
3047	8	97	352.7391052
3048	6	99	291.1391052
3049	6	98	291.1391052
3050	7	98	300.7391052
3051	10	98	329.5391052
3052	6	98	291.1391052
3053	6	99	291.1391052
3054	6	99	291.1391052
3055	6	98	291.1391052
3056	7	99	300.7391052
3057	6	98	291.1391052
3058	9	96	298.4
3059	6	98	291.1391052
3060	6	98	291.1391052
3061	6	98	291.1391052
3062	7	98	300.7391052
3063	8	98	310.3391052
3064	7	99	300.7391052
3065	6	99	291.1391052
3066	6	99	291.1391052
3067	8	97	288.8
3068	7	98	300.7391052
3069	8	96	288.8
3070	6	99	291.1391052
3071	6	98	291.1391052
3072	18	76	427.2
3073	6	98	291.1391052
3074	7	98	300.7391052
3075	6	98	291.1391052
3076	6	98	291.1391052
3077	6	99	291.1391052
3078	6	98	291.1391052
3079	6	98	291.1391052
3080	7	98	300.7391052
3081	8	97	288.8
3082	7	98	343.1391052
3083	6	98	291.1391052
3084	7	98	343.1391052
3085	12	94	412
3086	18	76	448.7391052
3087	8	97	416.6782105
3088	7	99	300.7391052
3089	6	98	291.1391052
3090	9	97	319.9391052
3091	7	98	300.7391052
3092	7	99	300.7391052
3093	6	99	291.1391052
3094	6	99	291.1391052
3095	6	98	291.1391052
3096	8	99	352.7391052
3097	6	99	291.1391052
3098	7	98	343.1391052
3099	6	99	291.1391052
3100	7	98	279.2
3101	6	99	291.1391052
3102	5	99	260.6782105
3103	7	98	300.7391052
3104	5	99	260.6782105
3105	6	99	291.1391052
3106	14	92	410.3391052
3107	7	97	343.1391052
3108	17	88	608.7391052
3109	8	98	310.3391052
3110	17	88	523.9391052
3111	7	98	300.7391052
3112	9	96	298.4
3113	12	92	497.4782105
3114	9	96	405.4173157
3115	6	99	291.1391052
3116	6	98	291.1391052
3117	9	97	319.9391052
3118	18	75	406.3391052
3119	13	92	548.8
3120	6	99	291.1391052
3121	9	98	319.9391052
3122	6	98	269.6
3123	8	97	288.8
3124	8	97	288.8
3125	8	96	416.6782105
3126	8	96	288.8
3127	6	98	291.1391052
3128	6	99	291.1391052
3129	9	96	298.4
3130	7	98	300.7391052
3131	7	98	300.7391052
3132	7	99	300.7391052
3133	7	98	300.7391052
3134	6	98	291.1391052
3135	7	98	300.7391052
3136	8	97	288.8
3137	18	76	491.1391052
3138	6	98	291.1391052
3139	6	99	291.1391052
3140	7	99	300.7391052
3141	8	98	310.3391052
3142	7	97	300.7391052
3143	10	95	371.9391052
3144	8	97	288.8
3145	7	98	279.2
