TS	X	Y	Direction	Line_Man	Column_Man
228	20.943142119375988	13.686825125158702	0	2.0	5.0
229	20.943142119375988	13.686825125158702	0	2.0	5.0
230	20.943142119375988	13.686825125158702	0	2.0	5.0
231	20.943142119375988	13.686825125158702	0	2.0	5.0
232	20.943142119375988	13.686825125158702	0	2.0	5.0
233	20.943142119375988	13.686825125158702	0	2.0	5.0
234	20.943142119375988	13.686825125158702	0	2.0	5.0
235	20.943142119375988	13.686825125158702	0	2.0	5.0
236	20.943142119375988	13.686825125158702	0	2.0	5.0
237	20.943142119375988	13.686825125158702	0	2.0	5.0
238	20.943142119375988	13.686825125158702	0	2.0	5.0
239	20.943142119375988	13.686825125158702	0	2.0	5.0
240	20.943142119375988	13.686825125158702	0	2.0	5.0
241	20.943142119375988	13.686825125158702	0	2.0	5.0
242	20.943142119375988	13.686825125158702	0	2.0	5.0
243	20.943142119375988	13.686825125158702	0	2.0	5.0
244	20.943142119375988	13.686825125158702	0	2.0	5.0
245	20.943142119375988	13.686825125158702	0	2.0	5.0
246	20.943142119375988	13.686825125158702	0	2.0	5.0
247	20.943142119375988	13.686825125158702	0	2.0	5.0
248	20.943142119375988	13.686825125158702	0	2.0	5.0
249	20.943142119375988	13.686825125158702	0	2.0	5.0
250	20.943142119375988	13.686825125158702	0	2.0	5.0
251	20.943142119375988	13.686825125158702	0	2.0	5.0
252	20.943142119375988	13.686825125158702	0	2.0	5.0
253	20.943142119375988	13.686825125158702	0	2.0	5.0
254	20.943142119375988	13.686825125158702	0	2.0	5.0
255	20.943142119375988	13.686825125158702	0	2.0	5.0
256	20.943142119375988	13.686825125158702	0	2.0	5.0
257	20.943142119375988	13.686825125158702	0	2.0	5.0
258	20.943142119375988	13.686825125158702	0	2.0	5.0
259	20.943142119375988	13.686825125158702	0	2.0	5.0
260	20.943142119375988	13.686825125158702	0	2.0	5.0
261	20.943142119375988	13.686825125158702	0	2.0	5.0
262	20.943142119375988	13.686825125158702	0	2.0	5.0
263	20.943142119375988	13.686825125158702	0	2.0	5.0
264	20.943142119375988	13.686825125158702	0	2.0	5.0
265	20.943142119375988	13.686825125158702	0	2.0	5.0
266	20.943142119375988	13.686825125158702	0	2.0	5.0
267	20.943142119375988	13.686825125158702	0	2.0	5.0
268	20.943142119375988	13.686825125158702	0	2.0	5.0
269	20.943142119375988	13.686825125158702	0	2.0	5.0
270	20.943142119375988	13.686825125158702	0	2.0	5.0
271	20.943142119375988	13.686825125158702	0	2.0	5.0
272	20.943142119375988	13.686825125158702	0	2.0	5.0
273	20.943142119375988	13.686825125158702	0	2.0	5.0
274	20.943142119375988	13.686825125158702	0	2.0	5.0
275	20.943142119375988	13.686825125158702	0	2.0	5.0
276	20.943142119375988	13.686825125158702	0	2.0	5.0
277	20.943142119375988	13.686825125158702	0	2.0	5.0
278	20.943142119375988	13.686825125158702	0	2.0	5.0
279	20.943142119375988	13.686825125158702	0	2.0	5.0
280	20.943142119375988	13.686825125158702	0	2.0	5.0
281	20.943142119375988	13.686825125158702	0	2.0	5.0
282	20.943142119375988	13.686825125158702	0	2.0	5.0
283	20.943142119375988	13.686825125158702	0	2.0	5.0
284	20.943142119375988	13.686825125158702	0	2.0	5.0
285	20.943142119375988	13.686825125158702	0	2.0	5.0
286	20.943142119375988	13.686825125158702	0	2.0	5.0
287	20.943142119375988	13.686825125158702	0	2.0	5.0
288	20.943142119375988	13.686825125158702	0	2.0	5.0
289	20.943142119375988	13.686825125158702	0	2.0	5.0
290	20.943142119375988	13.686825125158702	0	2.0	5.0
291	20.943142119375988	13.686825125158702	0	2.0	5.0
292	20.943142119375988	13.686825125158702	0	2.0	5.0
293	20.943142119375988	13.686825125158702	0	2.0	5.0
294	20.943142119375988	13.686825125158702	0	2.0	5.0
295	20.943142119375988	13.686825125158702	0	2.0	5.0
296	20.943142119375988	13.686825125158702	0	2.0	5.0
297	20.943142119375988	13.686825125158702	0	2.0	5.0
298	20.943142119375988	13.686825125158702	0	2.0	5.0
299	20.943142119375988	13.686825125158702	0	2.0	5.0
300	20.943142119375988	13.686825125158702	0	2.0	5.0
301	20.943142119375988	13.686825125158702	0	2.0	5.0
302	20.943142119375988	13.686825125158702	0	2.0	5.0
303	20.943142119375988	13.686825125158702	0	2.0	5.0
304	20.943142119375988	13.686825125158702	0	2.0	5.0
305	20.943142119375988	13.686825125158702	0	2.0	5.0
306	20.943142119375988	13.686825125158702	0	2.0	5.0
307	20.943142119375988	13.686825125158702	0	2.0	5.0
308	20.943142119375988	13.686825125158702	0	2.0	5.0
309	20.943142119375988	13.686825125158702	0	2.0	5.0
310	20.943142119375988	13.686825125158702	0	2.0	5.0
311	20.943142119375988	13.686825125158702	0	2.0	5.0
312	20.943142119375988	13.686825125158702	0	2.0	5.0
313	20.943142119375988	13.686825125158702	0	2.0	5.0
314	20.943142119375988	13.686825125158702	0	2.0	5.0
315	20.943142119375988	13.686825125158702	0	2.0	5.0
316	20.943142119375988	13.686825125158702	0	2.0	5.0
317	20.943142119375988	13.686825125158702	0	2.0	5.0
318	20.943142119375988	13.686825125158702	0	2.0	5.0
319	20.943142119375988	13.686825125158702	0	2.0	5.0
320	20.943142119375988	13.686825125158702	0	2.0	5.0
321	20.943142119375988	13.686825125158702	0	2.0	5.0
322	20.943142119375988	13.686825125158702	0	2.0	5.0
323	20.943142119375988	13.686825125158702	0	2.0	5.0
324	20.943142119375988	13.686825125158702	0	2.0	5.0
325	20.943142119375988	13.686825125158702	0	2.0	5.0
326	20.943142119375988	13.686825125158702	0	2.0	5.0
327	20.943142119375988	13.686825125158702	0	2.0	5.0
328	20.943142119375988	13.686825125158702	0	2.0	5.0
329	20.943142119375988	13.686825125158702	0	2.0	5.0
330	20.943142119375988	13.686825125158702	0	2.0	5.0
331	20.943142119375988	13.686825125158702	0	2.0	5.0
332	20.943142119375988	13.686825125158702	0	2.0	5.0
333	20.943142119375988	13.686825125158702	0	2.0	5.0
334	20.943142119375988	13.686825125158702	0	2.0	5.0
335	20.943142119375988	13.686825125158702	0	2.0	5.0
336	20.943142119375988	13.686825125158702	0	2.0	5.0
337	20.943142119375988	13.686825125158702	0	2.0	5.0
338	20.943142119375988	13.686825125158702	0	2.0	5.0
339	20.943142119375988	13.686825125158702	0	2.0	5.0
340	20.943142119375988	13.686825125158702	0	2.0	5.0
341	20.943142119375988	13.686825125158702	0	2.0	5.0
342	20.943142119375988	13.686825125158702	0	2.0	5.0
343	20.943142119375988	13.686825125158702	0	2.0	5.0
344	20.943142119375988	13.686825125158702	0	2.0	5.0
345	20.943142119375988	13.686825125158702	0	2.0	5.0
346	20.943142119375988	13.686825125158702	0	2.0	5.0
347	20.943142119375988	13.686825125158702	0	2.0	5.0
348	20.943142119375988	13.686825125158702	0	2.0	5.0
349	20.943142119375988	13.686825125158702	0	2.0	5.0
350	20.943142119375988	13.686825125158702	0	2.0	5.0
351	20.943142119375988	13.686825125158702	0	2.0	5.0
352	20.943142119375988	13.686825125158702	0	2.0	5.0
353	20.943142119375988	13.686825125158702	0	2.0	5.0
354	20.943142119375988	13.686825125158702	0	2.0	5.0
355	20.943142119375988	13.686825125158702	0	2.0	5.0
356	20.943142119375988	13.686825125158702	0	2.0	5.0
357	20.943142119375988	13.686825125158702	0	2.0	5.0
358	20.943142119375988	13.686825125158702	0	2.0	5.0
359	20.943142119375988	13.686825125158702	0	2.0	5.0
360	20.943142119375988	13.686825125158702	0	2.0	5.0
361	20.943142119375988	13.686825125158702	0	2.0	5.0
362	20.943142119375988	13.686825125158702	0	2.0	5.0
363	20.943142119375988	13.686825125158702	0	2.0	5.0
364	20.943142119375988	13.686825125158702	0	2.0	5.0
365	20.943142119375988	13.686825125158702	0	2.0	5.0
366	20.943142119375988	13.686825125158702	0	2.0	5.0
367	20.943142119375988	13.686825125158702	0	2.0	5.0
368	20.943142119375988	13.686825125158702	0	2.0	5.0
369	20.943142119375988	13.686825125158702	0	2.0	5.0
370	20.943142119375988	13.686825125158702	0	2.0	5.0
371	20.943142119375988	13.686825125158702	0	2.0	5.0
372	20.943142119375988	13.686825125158702	0	2.0	5.0
373	20.943142119375988	13.686825125158702	0	2.0	5.0
374	20.943142119375988	13.686825125158702	0	2.0	5.0
375	20.943142119375988	13.686825125158702	0	2.0	5.0
376	20.943142119375988	13.686825125158702	0	2.0	5.0
377	20.943142119375988	13.686825125158702	0	2.0	5.0
378	20.943142119375988	13.686825125158702	0	2.0	5.0
379	20.943142119375988	13.686825125158702	0	2.0	5.0
380	20.943142119375988	13.686825125158702	0	2.0	5.0
381	20.943142119375988	13.686825125158702	0	2.0	5.0
382	20.943142119375988	13.686825125158702	0	2.0	5.0
383	20.943142119375988	13.686825125158702	0	2.0	5.0
384	20.943142119375988	13.686825125158702	0	2.0	5.0
385	20.943142119375988	13.686825125158702	0	2.0	5.0
386	20.943142119375988	13.686825125158702	0	2.0	5.0
387	20.943142119375988	13.686825125158702	0	2.0	5.0
388	20.943142119375988	13.686825125158702	0	2.0	5.0
389	20.943142119375988	13.686825125158702	0	2.0	5.0
390	20.943142119375988	13.686825125158702	0	2.0	5.0
391	20.943142119375988	13.686825125158702	0	2.0	5.0
392	20.943142119375988	13.686825125158702	0	2.0	5.0
393	20.943142119375988	13.686825125158702	0	2.0	5.0
394	20.943142119375988	13.686825125158702	0	2.0	5.0
395	20.943142119375988	13.686825125158702	0	2.0	5.0
396	20.943142119375988	13.686825125158702	0	2.0	5.0
397	20.943142119375988	13.686825125158702	0	2.0	5.0
398	20.943142119375988	13.686825125158702	0	2.0	5.0
399	20.943142119375988	13.686825125158702	0	2.0	5.0
400	20.943142119375988	13.686825125158702	0	2.0	5.0
401	20.943142119375988	13.686825125158702	0	2.0	5.0
402	20.943142119375988	13.686825125158702	0	2.0	5.0
403	20.943142119375988	13.686825125158702	0	2.0	5.0
404	20.943142119375988	13.686825125158702	0	2.0	5.0
405	20.943142119375988	13.686825125158702	0	2.0	5.0
406	20.943142119375988	13.686825125158702	0	2.0	5.0
407	20.943142119375988	13.686825125158702	0	2.0	5.0
408	20.943142119375988	13.686825125158702	0	2.0	5.0
