EpNum	EpSteps	Reward	ener	dist
617	11	74	572.0	0.0
618	7	67	364.0	0.0
619	7	78	364.0	0.0
620	16	69	832.0	0.0
621	7	67	364.0	0.0
622	8	76	416.0	0.0
623	7	77	364.0	0.0
624	7	77	364.0	0.0
625	7	77	364.0	0.0
626	15	70	780.0	0.0
627	16	79	832.0	0.0
628	8	77	416.0	0.0
629	7	78	364.0	0.0
630	7	77	364.0	0.0
631	7	76	364.0	0.0
632	13	72	676.0	0.0
633	14	71	728.0	0.0
634	8	76	416.0	0.0
635	7	87	364.0	0.0
636	15	80	780.0	0.0
637	7	77	364.0	0.0
638	7	77	364.0	0.0
639	15	80	780.0	0.0
640	7	66	364.0	0.0
641	16	59	832.0	0.0
642	13	73	676.0	0.0
643	15	70	780.0	0.0
644	7	77	364.0	0.0
645	7	79	364.0	0.0
646	15	71	780.0	0.0
647	15	70	780.0	0.0
648	7	77	364.0	0.0
649	7	76	364.0	0.0
650	7	88	364.0	0.0
651	10	87	520.0	0.0
652	12	84	624.0	0.0
653	8	77	416.0	0.0
654	16	68	832.0	0.0
655	7	68	364.0	0.0
656	7	69	364.0	0.0
657	7	78	364.0	0.0
658	7	78	364.0	0.0
659	7	77	364.0	0.0
660	7	88	364.0	0.0
661	7	89	364.0	0.0
662	7	88	364.0	0.0
663	14	82	728.0	0.0
664	15	80	780.0	0.0
665	7	88	364.0	0.0
666	13	83	676.0	0.0
667	16	81	832.0	0.0
668	7	78	364.0	0.0
669	8	87	416.0	0.0
670	8	88	416.0	0.0
671	14	82	728.0	0.0
672	7	87	364.0	0.0
673	12	74	624.0	0.0
674	13	73	676.0	0.0
675	7	88	364.0	0.0
676	8	78	416.0	0.0
677	7	78	364.0	0.0
678	7	77	364.0	0.0
679	16	69	832.0	0.0
680	7	67	364.0	0.0
681	7	77	364.0	0.0
682	7	87	364.0	0.0
683	15	80	780.0	0.0
684	7	78	364.0	0.0
685	16	59	832.0	0.0
686	8	66	416.0	0.0
687	15	71	780.0	0.0
688	7	89	364.0	0.0
689	7	90	364.0	0.0
690	16	71	832.0	0.0
691	7	57	364.0	0.0
692	7	77	364.0	0.0
693	8	78	416.0	0.0
694	15	70	780.0	0.0
695	16	79	832.0	0.0
696	7	67	364.0	0.0
697	7	66	364.0	0.0
698	15	80	780.0	0.0
699	7	78	364.0	0.0
